title,ML_precision,ML_recall,ML_f1_score,opencv_basic_method_precision,opencv_basic_method_recall,opencv_basic_method_f1_score,opencv_advanced_method_precision,opencv_advanced_method_recall,opencv_advanced_method_f1_score
CYB_BUBBLEGOM_T01_005,0.8776361114141871,0.9030061984299449,0.8901404220169707,0.26502220029600393,0.4092246750435013,0.32170300749509884,0.35610655930845514,0.42414741518254495,0.3871602877992724
CYB_BUBBLEGOM_T01_007,0.8842730417611903,0.9166321611887593,0.9001618830605873,0.3669186313916052,0.573395104649255,0.4474875543781457,0.5494542748470316,0.5191524933788545,0.533873760238452
CYB_BUBBLEGOM_T01_009,0.8993681093514528,0.9499988829062311,0.9239904278407503,0.35922015280789577,0.3960097410576644,0.3767188795137192,0.6398818469192102,0.34484126097544626,0.4481618461024749
CYB_BUBBLEGOM_T01_011,0.9117455775234131,0.80800635282515,0.8567470758992989,0.4837999370871343,0.630364198756332,0.5474420687027782,0.6772819017716977,0.5608673655628206,0.613601810398582
CYB_BUBBLEGOM_T01_013,0.9049060752270685,0.9466151894343894,0.9252908429091429,0.3734262064359152,0.714401759718153,0.49047523561259276,0.8961066962360623,0.5310734463276836,0.6669073612424424
CYB_BUBBLEGOM_T01_028,0.8557928352631922,0.7219132267375269,0.7831727113227335,0.32813132188890815,0.5201814266733862,0.40241719683141647,0.8002571595558153,0.3136573968021258,0.45067474162332954
CYB_BUBBLEGOM_T01_030,0.7573823764894269,0.9475172708391639,0.8418476518279555,0.30255858157635823,0.865176980070409,0.4483321883825662,0.8512306517232242,0.8043865721987362,0.8271459081201437
CYB_BUBBLEGOM_T01_032,0.76373835172824,0.8983742602544045,0.8256033578174186,0.34103298993867,0.6613932968602719,0.45002198470657856,0.26076067968178773,0.5787555754224688,0.3595325195890229
CYB_BUBBLEGOM_T01_034,0.9565195024333029,0.72506414805918,0.8248629176796266,0.391087272712118,0.731880610517942,0.5097727124573564,0.6521128917015413,0.19930743493553998,0.3053038403412044
CYB_BUBBLEGOM_T01_036,0.914265422077922,0.658851342294147,0.7658236364795286,0.3193903491382326,0.6675278146744495,0.43205596898674525,0.6132013123421531,0.633175320797943,0.6230282682334602
CYB_COSMOZONE_008,0.9972525450754324,0.9288929509882327,0.9618596947829174,0.33015423850198256,0.8637495715754598,0.47771115169054046,0.60412147505423,0.11454358505655204,0.1925743810383574
CYB_COSMOZONE_010,0.9283085847872202,0.9245461992842668,0.9264235721074916,0.18062251800395904,0.6412710731686284,0.2818564281382656,0.5106688329271595,0.4065666364851464,0.4527101637140525
CYB_COSMOZONE_012,0.9248528449967299,0.8701439881855848,0.8966646939465676,0.18181080148566095,0.3674775403043853,0.24326526178579186,0.5188355094646092,0.34068999466710426,0.41130150554675116
CYB_COSMOZONE_014,0.984925355018813,0.9176108736458828,0.9500772725144008,0.8732155847873013,0.8279620960264151,0.8499869402443626,0.7428558867493186,0.3821380916841939,0.5046667562683871
CYB_COSMOZONE_016,0.9761607003282788,0.9656318861870337,0.9708677485181226,0.20742635395754194,0.6850233888738547,0.31843116112945613,0.0,0.0,0.0
CYB_MAGICIENLOOSE_001,0.9720430400807343,0.8910070503525176,0.929762657918251,1.0,0.7203610180509026,0.8374533141503538,0.9733269120343786,0.6568703435171759,0.7843830933775181
CYB_MOUETTEMAN_002,0.9362335681603602,0.9154564499520648,0.9257284429363926,0.36125600312507183,0.5582324326243653,0.4386456851092325,0.9240275660989994,0.4951354614210134,0.6447727377814769
CYB_MOUETTEMAN_004,0.7887909431292196,0.9803187730639378,0.8741872394848743,0.4811539736929369,0.41013373812452564,0.44281431288165,0.6066832726009476,0.4296369965191447,0.5030367287903952
CYB_MOUETTEMAN_006,0.9413626888471163,0.97412350031996,0.95746293835625,0.6738757317077112,0.8835260862747757,0.7645898200408547,0.7553585045261338,0.8479956943131879,0.7990009443511629
CYB_MOUETTEMAN_008,0.9134782882448003,0.3717429413937638,0.5284368137413361,0.18714930437360683,0.07278430334230851,0.1048077765666821,0.774277860911574,0.5756167138913029,0.6603290156963414
CYB_PSYCOCHON_001,0.9668400709116801,0.9489417536653546,0.9578073041876,0.675022706630336,0.8479662273946033,0.7516751371716098,0.7427083901215723,0.7771977865251868,0.7595617752007136
CYB_SUPERCOMPTOIR_001,0.9389342185544834,0.9402030682883135,0.9395682150387417,0.0,0.0,0.0,0.0,0.0,0.0
CYB_TRAFFIC_002,0.6008789452656812,0.7135369600578348,0.6523800179701943,0.20601341120484534,0.7530724742454364,0.3235227035604579,0.0,0.0,0.0
CYB_TRAFFIC_004,0.671425079442679,0.989409984871407,0.7999767008387697,0.04964911904199841,1.0,0.09460136371535764,0.0,0.0,0.0
CYB_TRAFFIC_006,0.7985992264089349,0.8657900945925656,0.8308384234982942,0.3118114311668832,0.6331803264623238,0.41785097528522486,0.0771415889924545,0.05591900645631797,0.06483784321528054
FOX_CHILLINTALES_T17_006,0.9579365729507109,0.6632298037037544,0.783796277035866,0.0,0.0,0.0,0.7812281296826631,0.7117024792741908,0.7448464026903195
FOX_CHILLINTALES_T17_012,0.9377081661925948,0.6069641367806505,0.73692682460833,0.0,0.0,0.0,0.7985544665651648,0.5426751066140022,0.6462064943187008
